algorithm,env_name,execution_time,reward,reward_per_tick,collisions,collisions_per_tick,ticks
A*,Normal,33.23129677772522,14.0,0.04666666666666667,2,0.006666666666666667,300
A*,Obstacle,32.996084213256836,16.0,0.05333333333333334,28,0.09333333333333334,300
A*,Human,30.9427707195282,16.0,0.05333333333333334,11,0.03666666666666667,300
A*,Obstacle_Human,32.042585372924805,18.0,0.06,4,0.013333333333333334,300
