algorithm,env_name,execution_time,reward,reward_per_tick,ticks
A*,Obstacle & Human,31.879494190216064,14.0,0.04666666666666667,300
Dijkstra,Obstacle & Human,32.03839898109436,26.0,0.08666666666666667,300
